"","StateFull","Year","Description","Value"
"31764","Tennessee","2009","Earnings by place of work",159122.9
"31765","Tennessee","2009","Wages and salaries",107955.3
"31766","Tennessee","2009","Supplements to wages and salaries",25280.6
"31767","Tennessee","2009","Employer contributions for employee pension and insurance funds 5/",17225.6
"31768","Tennessee","2009","Employer contributions for government social insurance",8055
"31769","Tennessee","2009","Proprietors' income",25887
"31770","Tennessee","2009","Farm proprietors' income",102.1
"31771","Tennessee","2009","Nonfarm proprietors' income",25784.8
"31772","Tennessee","2009","Total employment (number of jobs)",3523861
"31773","Tennessee","2009","Wage and salary employment",2716243
"31774","Tennessee","2009","Proprietors employment",807618
"31775","Tennessee","2009","Farm proprietors employment 6/",68163
"31776","Tennessee","2009","Nonfarm proprietors employment",739455
"31777","Tennessee","2009","Average earnings per job (dollars)",45156
"31778","Tennessee","2009","Average wages and salaries",39744
"31779","Tennessee","2009","Average nonfarm proprietors' income",34870
"31780","Texas","2009","Place of residence profile",NA
"31781","Texas","2009","Personal income (millions of dollars)",911227
"31782","Texas","2009","Derivation of personal income",NA
"31783","Texas","2009","Net earnings by place of residence",617525.8
"31784","Texas","2009","Personal current transfer receipts",142786
"31785","Texas","2009","Income maintenance benefits 1/",17975.8
"31786","Texas","2009","Unemployment insurance compensation",6149.9
"31787","Texas","2009","Retirement and other",118660.3
"31788","Texas","2009","Dividends, interest, and rent",150915.2
"31789","Texas","2009","Personal dividend income",41745.5
"31790","Texas","2009","Personal interest income",91654.9
"31791","Texas","2009","Imputed interest receipts 2/",61142.9
"31792","Texas","2009","Monetary interest receipts",30512.1
"31793","Texas","2009","Rental income of persons",17514.7
"31794","Texas","2009","Imputed rent",8665.2
"31795","Texas","2009","Monetary rent",8849.5
"31796","Texas","2009","Population (persons) 3/",24801761
"31797","Texas","2009","Per capita incomes (dollars)",NA
"31798","Texas","2009","Per capita personal income 4/",36740
"31799","Texas","2009","Per capita net earnings 4/",24898
"31800","Texas","2009","Per capita personal current transfer receipts 4/",5757
"31801","Texas","2009","Per capita income maintenance benefits 4/",725
"31802","Texas","2009","Per capita unemployment insurance compensation 4/",248
"31803","Texas","2009","Per capita retirement and other 4/",4784
"31804","Texas","2009","Per capita dividends, interest, and rent 4/",6085
"31805","Texas","2009","Per capita dividends 4/",1683
"31806","Texas","2009","Per capita interest 4/",3696
"31807","Texas","2009","Per capita rent 4/",706
"31808","Texas","2009","Place of work profile (millions of dollars)",NA
"31809","Texas","2009","Earnings by place of work",688282.5
"31810","Texas","2009","Wages and salaries",487489
"31811","Texas","2009","Supplements to wages and salaries",103417.8
"31812","Texas","2009","Employer contributions for employee pension and insurance funds 5/",70937.8
"31813","Texas","2009","Employer contributions for government social insurance",32480
"31814","Texas","2009","Proprietors' income",97375.7
"31815","Texas","2009","Farm proprietors' income",-439.1
"31816","Texas","2009","Nonfarm proprietors' income",97814.9
"31817","Texas","2009","Total employment (number of jobs)",14202794
"31818","Texas","2009","Wage and salary employment",10772135
"31819","Texas","2009","Proprietors employment",3430659
"31820","Texas","2009","Farm proprietors employment 6/",221346
"31821","Texas","2009","Nonfarm proprietors employment",3209313
"31822","Texas","2009","Average earnings per job (dollars)",48461
"31823","Texas","2009","Average wages and salaries",45255
"31824","Texas","2009","Average nonfarm proprietors' income",30478
"31825","Utah","2009","Place of residence profile",NA
"31826","Utah","2009","Personal income (millions of dollars)",86896.5
"31827","Utah","2009","Derivation of personal income",NA
"31828","Utah","2009","Net earnings by place of residence",57818.3
"31829","Utah","2009","Personal current transfer receipts",12409.5
"31830","Utah","2009","Income maintenance benefits 1/",1627.6
"31831","Utah","2009","Unemployment insurance compensation",694.2
"31832","Utah","2009","Retirement and other",10087.7
"31833","Utah","2009","Dividends, interest, and rent",16668.6
"31834","Utah","2009","Personal dividend income",4589.7
"31835","Utah","2009","Personal interest income",9626
"31836","Utah","2009","Imputed interest receipts 2/",7003.4
"31837","Utah","2009","Monetary interest receipts",2622.7
"31838","Utah","2009","Rental income of persons",2452.8
"31839","Utah","2009","Imputed rent",1835.6
"31840","Utah","2009","Monetary rent",617.2
"31841","Utah","2009","Population (persons) 3/",2723421
"31842","Utah","2009","Per capita incomes (dollars)",NA
"31843","Utah","2009","Per capita personal income 4/",31907
"31844","Utah","2009","Per capita net earnings 4/",21230
"31845","Utah","2009","Per capita personal current transfer receipts 4/",4557
"31846","Utah","2009","Per capita income maintenance benefits 4/",598
"31847","Utah","2009","Per capita unemployment insurance compensation 4/",255
"31848","Utah","2009","Per capita retirement and other 4/",3704
"31849","Utah","2009","Per capita dividends, interest, and rent 4/",6120
"31850","Utah","2009","Per capita dividends 4/",1685
"31851","Utah","2009","Per capita interest 4/",3535
"31852","Utah","2009","Per capita rent 4/",901
"31853","Utah","2009","Place of work profile (millions of dollars)",NA
"31854","Utah","2009","Earnings by place of work",65579.7
"31855","Utah","2009","Wages and salaries",48863.5
"31856","Utah","2009","Supplements to wages and salaries",12138.9
"31857","Utah","2009","Employer contributions for employee pension and insurance funds 5/",8298.9
"31858","Utah","2009","Employer contributions for government social insurance",3840
"31859","Utah","2009","Proprietors' income",4577.3
"31860","Utah","2009","Farm proprietors' income",-90.6
"31861","Utah","2009","Nonfarm proprietors' income",4667.9
"31862","Utah","2009","Total employment (number of jobs)",1633982
"31863","Utah","2009","Wage and salary employment",1241969
"31864","Utah","2009","Proprietors employment",392013
"31865","Utah","2009","Farm proprietors employment 6/",14873
"31866","Utah","2009","Nonfarm proprietors employment",377140
"31867","Utah","2009","Average earnings per job (dollars)",40135
"31868","Utah","2009","Average wages and salaries",39344
"31869","Utah","2009","Average nonfarm proprietors' income",12377
"31870","Vermont","2009","Place of residence profile",NA
"31871","Vermont","2009","Personal income (millions of dollars)",24990.4
"31872","Vermont","2009","Derivation of personal income",NA
"31873","Vermont","2009","Net earnings by place of residence",15432.8
"31874","Vermont","2009","Personal current transfer receipts",5058.4
"31875","Vermont","2009","Income maintenance benefits 1/",522.4
"31876","Vermont","2009","Unemployment insurance compensation",267.3
"31877","Vermont","2009","Retirement and other",4268.7
"31878","Vermont","2009","Dividends, interest, and rent",4499.2
"31879","Vermont","2009","Personal dividend income",1232.7
"31880","Vermont","2009","Personal interest income",2617.9
"31881","Vermont","2009","Imputed interest receipts 2/",1584.4
"31882","Vermont","2009","Monetary interest receipts",1033.5
"31883","Vermont","2009","Rental income of persons",648.6
"31884","Vermont","2009","Imputed rent",400.9
"31885","Vermont","2009","Monetary rent",247.7
"31886","Vermont","2009","Population (persons) 3/",624817
"31887","Vermont","2009","Per capita incomes (dollars)",NA
"31888","Vermont","2009","Per capita personal income 4/",39996
"31889","Vermont","2009","Per capita net earnings 4/",24700
"31890","Vermont","2009","Per capita personal current transfer receipts 4/",8096
"31891","Vermont","2009","Per capita income maintenance benefits 4/",836
"31892","Vermont","2009","Per capita unemployment insurance compensation 4/",428
"31893","Vermont","2009","Per capita retirement and other 4/",6832
"31894","Vermont","2009","Per capita dividends, interest, and rent 4/",7201
"31895","Vermont","2009","Per capita dividends 4/",1973
"31896","Vermont","2009","Per capita interest 4/",4190
"31897","Vermont","2009","Per capita rent 4/",1038
"31898","Vermont","2009","Place of work profile (millions of dollars)",NA
"31899","Vermont","2009","Earnings by place of work",17133.3
"31900","Vermont","2009","Wages and salaries",11805.6
"31901","Vermont","2009","Supplements to wages and salaries",3037.7
"31902","Vermont","2009","Employer contributions for employee pension and insurance funds 5/",2100.3
"31903","Vermont","2009","Employer contributions for government social insurance",937.4
"31904","Vermont","2009","Proprietors' income",2290
"31905","Vermont","2009","Farm proprietors' income",50.6
"31906","Vermont","2009","Nonfarm proprietors' income",2239.5
"31907","Vermont","2009","Total employment (number of jobs)",414181
"31908","Vermont","2009","Wage and salary employment",309536
"31909","Vermont","2009","Proprietors employment",104645
"31910","Vermont","2009","Farm proprietors employment 6/",6477
"31911","Vermont","2009","Nonfarm proprietors employment",98168
"31912","Vermont","2009","Average earnings per job (dollars)",41367
"31913","Vermont","2009","Average wages and salaries",38140
"31914","Vermont","2009","Average nonfarm proprietors' income",22813
"31915","Virginia","2009","Place of residence profile",NA
"31916","Virginia","2009","Personal income (millions of dollars)",348944.2
"31917","Virginia","2009","Derivation of personal income",NA
"31918","Virginia","2009","Net earnings by place of residence",237768.7
"31919","Virginia","2009","Personal current transfer receipts",45409.3
"31920","Virginia","2009","Income maintenance benefits 1/",4500.6
"31921","Virginia","2009","Unemployment insurance compensation",1677
"31922","Virginia","2009","Retirement and other",39231.8
"31923","Virginia","2009","Dividends, interest, and rent",65766.1
"31924","Virginia","2009","Personal dividend income",14635.7
"31925","Virginia","2009","Personal interest income",41726.9
"31926","Virginia","2009","Imputed interest receipts 2/",30374.5
"31927","Virginia","2009","Monetary interest receipts",11352.4
"31928","Virginia","2009","Rental income of persons",9403.5
"31929","Virginia","2009","Imputed rent",7035.6
"31930","Virginia","2009","Monetary rent",2367.9
"31931","Virginia","2009","Population (persons) 3/",7925937
"31932","Virginia","2009","Per capita incomes (dollars)",NA
"31933","Virginia","2009","Per capita personal income 4/",44026
"31934","Virginia","2009","Per capita net earnings 4/",29999
"31935","Virginia","2009","Per capita personal current transfer receipts 4/",5729
"31936","Virginia","2009","Per capita income maintenance benefits 4/",568
"31937","Virginia","2009","Per capita unemployment insurance compensation 4/",212
"31938","Virginia","2009","Per capita retirement and other 4/",4950
"31939","Virginia","2009","Per capita dividends, interest, and rent 4/",8298
"31940","Virginia","2009","Per capita dividends 4/",1847
"31941","Virginia","2009","Per capita interest 4/",5265
"31942","Virginia","2009","Per capita rent 4/",1186
"31943","Virginia","2009","Place of work profile (millions of dollars)",NA
"31944","Virginia","2009","Earnings by place of work",253295.2
"31945","Virginia","2009","Wages and salaries",191515
"31946","Virginia","2009","Supplements to wages and salaries",44951.7
"31947","Virginia","2009","Employer contributions for employee pension and insurance funds 5/",31270.8
"31948","Virginia","2009","Employer contributions for government social insurance",13680.9
"31949","Virginia","2009","Proprietors' income",16828.6
"31950","Virginia","2009","Farm proprietors' income",90.4
"31951","Virginia","2009","Nonfarm proprietors' income",16738.2
"31952","Virginia","2009","Total employment (number of jobs)",4758119
"31953","Virginia","2009","Wage and salary employment",3864927
"31954","Virginia","2009","Proprietors employment",893192
"31955","Virginia","2009","Farm proprietors employment 6/",40741
"31956","Virginia","2009","Nonfarm proprietors employment",852451
"31957","Virginia","2009","Average earnings per job (dollars)",53234
"31958","Virginia","2009","Average wages and salaries",49552
"31959","Virginia","2009","Average nonfarm proprietors' income",19635
"31960","Washington","2009","Place of residence profile",NA
"31961","Washington","2009","Personal income (millions of dollars)",279037.8
"31962","Washington","2009","Derivation of personal income",NA
"31963","Washington","2009","Net earnings by place of residence",177242.2
"31964","Washington","2009","Personal current transfer receipts",45444.6
"31965","Washington","2009","Income maintenance benefits 1/",5278.4
"31966","Washington","2009","Unemployment insurance compensation",3772.8
"31967","Washington","2009","Retirement and other",36393.4
"31968","Washington","2009","Dividends, interest, and rent",56351
"31969","Washington","2009","Personal dividend income",12988.3
"31970","Washington","2009","Personal interest income",34109.6
"31971","Washington","2009","Imputed interest receipts 2/",21936.4
"31972","Washington","2009","Monetary interest receipts",12173.3
"31973","Washington","2009","Rental income of persons",9253
"31974","Washington","2009","Imputed rent",6259.5
"31975","Washington","2009","Monetary rent",2993.6
"31976","Washington","2009","Population (persons) 3/",6667426
"31977","Washington","2009","Per capita incomes (dollars)",NA
"31978","Washington","2009","Per capita personal income 4/",41851
"31979","Washington","2009","Per capita net earnings 4/",26583
"31980","Washington","2009","Per capita personal current transfer receipts 4/",6816
"31981","Washington","2009","Per capita income maintenance benefits 4/",792
"31982","Washington","2009","Per capita unemployment insurance compensation 4/",566
"31983","Washington","2009","Per capita retirement and other 4/",5458
"31984","Washington","2009","Per capita dividends, interest, and rent 4/",8452
"31985","Washington","2009","Per capita dividends 4/",1948
"31986","Washington","2009","Per capita interest 4/",5116
"31987","Washington","2009","Per capita rent 4/",1388
"31988","Washington","2009","Place of work profile (millions of dollars)",NA
"31989","Washington","2009","Earnings by place of work",198666.3
"31990","Washington","2009","Wages and salaries",146273
"31991","Washington","2009","Supplements to wages and salaries",36261.9
"31992","Washington","2009","Employer contributions for employee pension and insurance funds 5/",23325.7
"31993","Washington","2009","Employer contributions for government social insurance",12936.2
"31994","Washington","2009","Proprietors' income",16131.5
"31995","Washington","2009","Farm proprietors' income",668.8
"31996","Washington","2009","Nonfarm proprietors' income",15462.7
"31997","Washington","2009","Total employment (number of jobs)",3815691
"31998","Washington","2009","Wage and salary employment",3034437
"31999","Washington","2009","Proprietors employment",781254
"32000","Washington","2009","Farm proprietors employment 6/",33814
"32001","Washington","2009","Nonfarm proprietors employment",747440
"32002","Washington","2009","Average earnings per job (dollars)",52066
"32003","Washington","2009","Average wages and salaries",48204
"32004","Washington","2009","Average nonfarm proprietors' income",20687
"32005","West Virginia","2009","Place of residence profile",NA
"32006","West Virginia","2009","Personal income (millions of dollars)",58149.8
"32007","West Virginia","2009","Derivation of personal income",NA
"32008","West Virginia","2009","Net earnings by place of residence",33708.6
"32009","West Virginia","2009","Personal current transfer receipts",15965.1
"32010","West Virginia","2009","Income maintenance benefits 1/",1592.7
"32011","West Virginia","2009","Unemployment insurance compensation",519.8
"32012","West Virginia","2009","Retirement and other",13852.6
"32013","West Virginia","2009","Dividends, interest, and rent",8476.1
"32014","West Virginia","2009","Personal dividend income",1831.3
"32015","West Virginia","2009","Personal interest income",5446.2
"32016","West Virginia","2009","Imputed interest receipts 2/",3820.5
"32017","West Virginia","2009","Monetary interest receipts",1625.7
"32018","West Virginia","2009","Rental income of persons",1198.6
"32019","West Virginia","2009","Imputed rent",857.7
"32020","West Virginia","2009","Monetary rent",340.8
"32021","West Virginia","2009","Population (persons) 3/",1847775
"32022","West Virginia","2009","Per capita incomes (dollars)",NA
"32023","West Virginia","2009","Per capita personal income 4/",31470
"32024","West Virginia","2009","Per capita net earnings 4/",18243
"32025","West Virginia","2009","Per capita personal current transfer receipts 4/",8640
"32026","West Virginia","2009","Per capita income maintenance benefits 4/",862
"32027","West Virginia","2009","Per capita unemployment insurance compensation 4/",281
"32028","West Virginia","2009","Per capita retirement and other 4/",7497
"32029","West Virginia","2009","Per capita dividends, interest, and rent 4/",4587
"32030","West Virginia","2009","Per capita dividends 4/",991
"32031","West Virginia","2009","Per capita interest 4/",2947
"32032","West Virginia","2009","Per capita rent 4/",649
"32033","West Virginia","2009","Place of work profile (millions of dollars)",NA
"32034","West Virginia","2009","Earnings by place of work",36978.7
"32035","West Virginia","2009","Wages and salaries",26703.9
"32036","West Virginia","2009","Supplements to wages and salaries",7012
"32037","West Virginia","2009","Employer contributions for employee pension and insurance funds 5/",4888.1
"32038","West Virginia","2009","Employer contributions for government social insurance",2123.9
"32039","West Virginia","2009","Proprietors' income",3262.9
"32040","West Virginia","2009","Farm proprietors' income",-69.1
"32041","West Virginia","2009","Nonfarm proprietors' income",3332
"32042","West Virginia","2009","Total employment (number of jobs)",899038
"32043","West Virginia","2009","Wage and salary employment",733675
"32044","West Virginia","2009","Proprietors employment",165363
"32045","West Virginia","2009","Farm proprietors employment 6/",21197
"32046","West Virginia","2009","Nonfarm proprietors employment",144166
"32047","West Virginia","2009","Average earnings per job (dollars)",41131
"32048","West Virginia","2009","Average wages and salaries",36397
"32049","West Virginia","2009","Average nonfarm proprietors' income",23112
"32050","Wisconsin","2009","Place of residence profile",NA
"32051","Wisconsin","2009","Personal income (millions of dollars)",215913.3
"32052","Wisconsin","2009","Derivation of personal income",NA
"32053","Wisconsin","2009","Net earnings by place of residence",139756.8
"32054","Wisconsin","2009","Personal current transfer receipts",39176.4
"32055","Wisconsin","2009","Income maintenance benefits 1/",3362.7
"32056","Wisconsin","2009","Unemployment insurance compensation",2936.2
"32057","Wisconsin","2009","Retirement and other",32877.5
"32058","Wisconsin","2009","Dividends, interest, and rent",36980.1
"32059","Wisconsin","2009","Personal dividend income",10356.9
"32060","Wisconsin","2009","Personal interest income",21081.2
"32061","Wisconsin","2009","Imputed interest receipts 2/",13515.9
"32062","Wisconsin","2009","Monetary interest receipts",7565.3
"32063","Wisconsin","2009","Rental income of persons",5541.9
"32064","Wisconsin","2009","Imputed rent",3675.7
"32065","Wisconsin","2009","Monetary rent",1866.2
"32066","Wisconsin","2009","Population (persons) 3/",5669264
"32067","Wisconsin","2009","Per capita incomes (dollars)",NA
"32068","Wisconsin","2009","Per capita personal income 4/",38085
"32069","Wisconsin","2009","Per capita net earnings 4/",24652
"32070","Wisconsin","2009","Per capita personal current transfer receipts 4/",6910
"32071","Wisconsin","2009","Per capita income maintenance benefits 4/",593
"32072","Wisconsin","2009","Per capita unemployment insurance compensation 4/",518
"32073","Wisconsin","2009","Per capita retirement and other 4/",5799
"32074","Wisconsin","2009","Per capita dividends, interest, and rent 4/",6523
"32075","Wisconsin","2009","Per capita dividends 4/",1827
"32076","Wisconsin","2009","Per capita interest 4/",3719
"32077","Wisconsin","2009","Per capita rent 4/",978
"32078","Wisconsin","2009","Place of work profile (millions of dollars)",NA
"32079","Wisconsin","2009","Earnings by place of work",154493.4
"32080","Wisconsin","2009","Wages and salaries",110606.8
"32081","Wisconsin","2009","Supplements to wages and salaries",32239.6
"32082","Wisconsin","2009","Employer contributions for employee pension and insurance funds 5/",23608.3
"32083","Wisconsin","2009","Employer contributions for government social insurance",8631.4
"32084","Wisconsin","2009","Proprietors' income",11647
"32085","Wisconsin","2009","Farm proprietors' income",-5.2
"32086","Wisconsin","2009","Nonfarm proprietors' income",11652.2
"32087","Wisconsin","2009","Total employment (number of jobs)",3444622
"32088","Wisconsin","2009","Wage and salary employment",2791743
"32089","Wisconsin","2009","Proprietors employment",652879
"32090","Wisconsin","2009","Farm proprietors employment 6/",67507
"32091","Wisconsin","2009","Nonfarm proprietors employment",585372
"32092","Wisconsin","2009","Average earnings per job (dollars)",44851
"32093","Wisconsin","2009","Average wages and salaries",39619
"32094","Wisconsin","2009","Average nonfarm proprietors' income",19906
"32095","Wyoming","2009","Place of residence profile",NA
"32096","Wyoming","2009","Personal income (millions of dollars)",24346.8
"32097","Wyoming","2009","Derivation of personal income",NA
"32098","Wyoming","2009","Net earnings by place of residence",15064.6
"32099","Wyoming","2009","Personal current transfer receipts",3376.8
"32100","Wyoming","2009","Income maintenance benefits 1/",215.2
"32101","Wyoming","2009","Unemployment insurance compensation",193.6
"32102","Wyoming","2009","Retirement and other",2967.9
"32103","Wyoming","2009","Dividends, interest, and rent",5905.4
"32104","Wyoming","2009","Personal dividend income",1650
"32105","Wyoming","2009","Personal interest income",3586.9
"32106","Wyoming","2009","Imputed interest receipts 2/",2228.3
"32107","Wyoming","2009","Monetary interest receipts",1358.6
"32108","Wyoming","2009","Rental income of persons",668.5
"32109","Wyoming","2009","Imputed rent",383.3
"32110","Wyoming","2009","Monetary rent",285.3
"32111","Wyoming","2009","Population (persons) 3/",559851
"32112","Wyoming","2009","Per capita incomes (dollars)",NA
"32113","Wyoming","2009","Per capita personal income 4/",43488
"32114","Wyoming","2009","Per capita net earnings 4/",26908
"32115","Wyoming","2009","Per capita personal current transfer receipts 4/",6032
"32116","Wyoming","2009","Per capita income maintenance benefits 4/",384
"32117","Wyoming","2009","Per capita unemployment insurance compensation 4/",346
"32118","Wyoming","2009","Per capita retirement and other 4/",5301
"32119","Wyoming","2009","Per capita dividends, interest, and rent 4/",10548
"32120","Wyoming","2009","Per capita dividends 4/",2947
"32121","Wyoming","2009","Per capita interest 4/",6407
"32122","Wyoming","2009","Per capita rent 4/",1194
"32123","Wyoming","2009","Place of work profile (millions of dollars)",NA
"32124","Wyoming","2009","Earnings by place of work",17460.9
"32125","Wyoming","2009","Wages and salaries",12196.4
"32126","Wyoming","2009","Supplements to wages and salaries",3067.3
"32127","Wyoming","2009","Employer contributions for employee pension and insurance funds 5/",1891.8
"32128","Wyoming","2009","Employer contributions for government social insurance",1175.6
"32129","Wyoming","2009","Proprietors' income",2197.2
"32130","Wyoming","2009","Farm proprietors' income",-40.7
"32131","Wyoming","2009","Nonfarm proprietors' income",2237.8
"32132","Wyoming","2009","Total employment (number of jobs)",387473
"32133","Wyoming","2009","Wage and salary employment",293503
"32134","Wyoming","2009","Proprietors employment",93970
"32135","Wyoming","2009","Farm proprietors employment 6/",9998
"32136","Wyoming","2009","Nonfarm proprietors employment",83972
"32137","Wyoming","2009","Average earnings per job (dollars)",45063
"32138","Wyoming","2009","Average wages and salaries",41554
"32139","Wyoming","2009","Average nonfarm proprietors' income",26650
"32140","New England","2009","Place of residence profile",NA
"32141","New England","2009","Personal income (millions of dollars)",722458.1
"32142","New England","2009","Derivation of personal income",NA
"32143","New England","2009","Net earnings by place of residence",481223
"32144","New England","2009","Personal current transfer receipts",114366.9
"32145","New England","2009","Income maintenance benefits 1/",10892.4
"32146","New England","2009","Unemployment insurance compensation",8582.2
"32147","New England","2009","Retirement and other",94892.3
"32148","New England","2009","Dividends, interest, and rent",126868.2
"32149","New England","2009","Personal dividend income",32447.6
"32150","New England","2009","Personal interest income",75403.4
"32151","New England","2009","Imputed interest receipts 2/",45243.3
"32152","New England","2009","Monetary interest receipts",30160.1
"32153","New England","2009","Rental income of persons",19017.2
"32154","New England","2009","Imputed rent",13363.5
"32155","New England","2009","Monetary rent",5653.6
"32156","New England","2009","Population (persons) 3/",14403575
"32157","New England","2009","Per capita incomes (dollars)",NA
"32158","New England","2009","Per capita personal income 4/",50158
"32159","New England","2009","Per capita net earnings 4/",33410
"32160","New England","2009","Per capita personal current transfer receipts 4/",7940
"32161","New England","2009","Per capita income maintenance benefits 4/",756
"32162","New England","2009","Per capita unemployment insurance compensation 4/",596
"32163","New England","2009","Per capita retirement and other 4/",6588
"32164","New England","2009","Per capita dividends, interest, and rent 4/",8808
"32165","New England","2009","Per capita dividends 4/",2253
"32166","New England","2009","Per capita interest 4/",5235
"32167","New England","2009","Per capita rent 4/",1320
"32168","New England","2009","Place of work profile (millions of dollars)",NA
"32169","New England","2009","Earnings by place of work",525517.6
"32170","New England","2009","Wages and salaries",361807
"32171","New England","2009","Supplements to wages and salaries",83003.6
"32172","New England","2009","Employer contributions for employee pension and insurance funds 5/",57193.3
"32173","New England","2009","Employer contributions for government social insurance",25810.3
"32174","New England","2009","Proprietors' income",80707
"32175","New England","2009","Farm proprietors' income",254.9
"32176","New England","2009","Nonfarm proprietors' income",80452.1
"32177","New England","2009","Total employment (number of jobs)",8935933
"32178","New England","2009","Wage and salary employment",7015631
"32179","New England","2009","Proprietors employment",1920302
"32180","New England","2009","Farm proprietors employment 6/",29840
"32181","New England","2009","Nonfarm proprietors employment",1890462
"32182","New England","2009","Average earnings per job (dollars)",58809
"32183","New England","2009","Average wages and salaries",51572
"32184","New England","2009","Average nonfarm proprietors' income",42557
"32185","Mideast","2009","Place of residence profile",NA
"32186","Mideast","2009","Personal income (millions of dollars)",2216262.9
"32187","Mideast","2009","Derivation of personal income",NA
"32188","Mideast","2009","Net earnings by place of residence",1441830.6
"32189","Mideast","2009","Personal current transfer receipts",388248.6
"32190","Mideast","2009","Income maintenance benefits 1/",38596.6
"32191","Mideast","2009","Unemployment insurance compensation",25717.4
"32192","Mideast","2009","Retirement and other",323934.5
"32193","Mideast","2009","Dividends, interest, and rent",386183.7
"32194","Mideast","2009","Personal dividend income",92484.6
"32195","Mideast","2009","Personal interest income",236005.3
"32196","Mideast","2009","Imputed interest receipts 2/",149080.3
"32197","Mideast","2009","Monetary interest receipts",86925
"32198","Mideast","2009","Rental income of persons",57693.7
"32199","Mideast","2009","Imputed rent",40284.4
"32200","Mideast","2009","Monetary rent",17409.4
"32201","Mideast","2009","Population (persons) 3/",47943872
"32202","Mideast","2009","Per capita incomes (dollars)",NA
"32203","Mideast","2009","Per capita personal income 4/",46226
"32204","Mideast","2009","Per capita net earnings 4/",30073
"32205","Mideast","2009","Per capita personal current transfer receipts 4/",8098
"32206","Mideast","2009","Per capita income maintenance benefits 4/",805
"32207","Mideast","2009","Per capita unemployment insurance compensation 4/",536
"32208","Mideast","2009","Per capita retirement and other 4/",6757
"32209","Mideast","2009","Per capita dividends, interest, and rent 4/",8055
"32210","Mideast","2009","Per capita dividends 4/",1929
"32211","Mideast","2009","Per capita interest 4/",4923
"32212","Mideast","2009","Per capita rent 4/",1203
"32213","Mideast","2009","Place of work profile (millions of dollars)",NA
"32214","Mideast","2009","Earnings by place of work",1646562.6
"32215","Mideast","2009","Wages and salaries",1177676.2
"32216","Mideast","2009","Supplements to wages and salaries",291624.5
"32217","Mideast","2009","Employer contributions for employee pension and insurance funds 5/",204696.9
"32218","Mideast","2009","Employer contributions for government social insurance",86927.6
"32219","Mideast","2009","Proprietors' income",177262
"32220","Mideast","2009","Farm proprietors' income",1359.2
"32221","Mideast","2009","Nonfarm proprietors' income",175902.7
"32222","Mideast","2009","Total employment (number of jobs)",27759001
"32223","Mideast","2009","Wage and salary employment",22247067
"32224","Mideast","2009","Proprietors employment",5511934
"32225","Mideast","2009","Farm proprietors employment 6/",108634
"32226","Mideast","2009","Nonfarm proprietors employment",5403300
"32227","Mideast","2009","Average earnings per job (dollars)",59316
"32228","Mideast","2009","Average wages and salaries",52936
"32229","Mideast","2009","Average nonfarm proprietors' income",32555
"32230","Great Lakes","2009","Place of residence profile",NA
"32231","Great Lakes","2009","Personal income (millions of dollars)",1708115.5
"32232","Great Lakes","2009","Derivation of personal income",NA
"32233","Great Lakes","2009","Net earnings by place of residence",1094650.7
"32234","Great Lakes","2009","Personal current transfer receipts",332482.6
"32235","Great Lakes","2009","Income maintenance benefits 1/",34636.5
"32236","Great Lakes","2009","Unemployment insurance compensation",24690.2
"32237","Great Lakes","2009","Retirement and other",273155.9
"32238","Great Lakes","2009","Dividends, interest, and rent",280982.2
"32239","Great Lakes","2009","Personal dividend income",75904.3
"32240","Great Lakes","2009","Personal interest income",166121.8
"32241","Great Lakes","2009","Imputed interest receipts 2/",106550.6
"32242","Great Lakes","2009","Monetary interest receipts",59571.2
"32243","Great Lakes","2009","Rental income of persons",38956.2
"32244","Great Lakes","2009","Imputed rent",26731.8
"32245","Great Lakes","2009","Monetary rent",12224.3
"32246","Great Lakes","2009","Population (persons) 3/",46355854
"32247","Great Lakes","2009","Per capita incomes (dollars)",NA
"32248","Great Lakes","2009","Per capita personal income 4/",36848
"32249","Great Lakes","2009","Per capita net earnings 4/",23614
"32250","Great Lakes","2009","Per capita personal current transfer receipts 4/",7172
"32251","Great Lakes","2009","Per capita income maintenance benefits 4/",747
"32252","Great Lakes","2009","Per capita unemployment insurance compensation 4/",533
"32253","Great Lakes","2009","Per capita retirement and other 4/",5893
"32254","Great Lakes","2009","Per capita dividends, interest, and rent 4/",6061
"32255","Great Lakes","2009","Per capita dividends 4/",1637
"32256","Great Lakes","2009","Per capita interest 4/",3584
"32257","Great Lakes","2009","Per capita rent 4/",840
"32258","Great Lakes","2009","Place of work profile (millions of dollars)",NA
"32259","Great Lakes","2009","Earnings by place of work",1228091.6
"32260","Great Lakes","2009","Wages and salaries",894027.4
"32261","Great Lakes","2009","Supplements to wages and salaries",229429.5
"32262","Great Lakes","2009","Employer contributions for employee pension and insurance funds 5/",162503.5
"32263","Great Lakes","2009","Employer contributions for government social insurance",66926
"32264","Great Lakes","2009","Proprietors' income",104634.7
"32265","Great Lakes","2009","Farm proprietors' income",4501.8
"32266","Great Lakes","2009","Nonfarm proprietors' income",100133
"32267","Great Lakes","2009","Total employment (number of jobs)",25773421
"32268","Great Lakes","2009","Wage and salary employment",20650352
"32269","Great Lakes","2009","Proprietors employment",5123069
"32270","Great Lakes","2009","Farm proprietors employment 6/",295703
"32271","Great Lakes","2009","Nonfarm proprietors employment",4827366
"32272","Great Lakes","2009","Average earnings per job (dollars)",47650
